zip,type_of_property,subtype_of_property,price,number_of_rooms,house_area,surface_of_the_land,number_of_facades,swimming_pool,state_of_the_building,commune,province,region,rank
9750,house,house,229000,3,186,185,3,0,to be done up,KRUISEM,Flandre-Orientale,Région flamande,519.0
6030,house,exceptional property,231500,3,114,273,3,0,unknown,CHARLEROI,Hainaut,Région wallonne,19.0
6030,house,exceptional property,234500,3,124,218,3,0,unknown,CHARLEROI,Hainaut,Région wallonne,19.0
6030,house,exceptional property,241500,3,124,247,3,0,unknown,CHARLEROI,Hainaut,Région wallonne,19.0
6030,house,exceptional property,242300,3,124,248,3,0,unknown,CHARLEROI,Hainaut,Région wallonne,19.0
6030,house,exceptional property,242500,3,124,255,3,0,unknown,CHARLEROI,Hainaut,Région wallonne,19.0
6030,house,exceptional property,243600,3,124,265,3,0,unknown,CHARLEROI,Hainaut,Région wallonne,19.0
6030,house,villa,244400,3,124,261,3,0,unknown,CHARLEROI,Hainaut,Région wallonne,19.0
6030,house,exceptional property,245000,3,124,265,3,0,unknown,CHARLEROI,Hainaut,Région wallonne,19.0
4470,house,villa,239500,3,125,925,4,0,unknown,SAINT-GEORGES-SUR-MEUSE,Liège,Région wallonne,151.0
8570,house,house,246500,4,132,142,3,0,unknown,ANZEGEM,Flandre-Occidentale,Région flamande,330.0
2480,house,house,205000,3,160,333,2,0,just renovated,DESSEL,Anvers,Région flamande,296.0
3800,house,house,227500,3,179,250,2,0,good,SINT-TRUIDEN,Limbourg,Région flamande,192.0
9320,house,house,239000,3,196,163,2,0,good,AALST,Flandre-Orientale,Région flamande,227.0
8550,house,house,249500,3,125,205,2,0,unknown,ZWEVEGEM,Flandre-Occidentale,Région flamande,158.0
8800,house,house,242900,3,165,343,3,0,as new,ROESELARE,Flandre-Occidentale,Région flamande,249.0
3512,house,house,215000,3,146,1579,4,0,unknown,HASSELT,Limbourg,Région flamande,411.0
2300,house,house,239000,4,200,70,3,0,good,TURNHOUT,Anvers,Région flamande,277.0
6536,house,house,240000,3,244,590,3,0,good,THUIN,Hainaut,Région wallonne,106.0
8800,house,house,250000,3,150,188,3,0,as new,ROESELARE,Flandre-Occidentale,Région flamande,249.0
7022,house,house,250000,4,225,1350,4,0,unknown,MONS,Hainaut,Région wallonne,40.0
3891,house,house,220000,4,164,495,4,0,good,GINGELOM,Limbourg,Région flamande,146.0
8430,house,house,244500,3,194,171,3,0,as new,MIDDELKERKE,Flandre-Occidentale,Région flamande,71.0
3770,house,house,205000,3,280,1055,3,0,unknown,RIEMST,Limbourg,Région flamande,294.0
9000,house,house,249000,2,87,97,3,0,good,GENT,Flandre-Orientale,Région flamande,496.0
9100,house,house,236500,3,114,80,3,0,unknown,SINT-NIKLAAS,Flandre-Orientale,Région flamande,319.0
3580,house,house,249000,3,160,279,3,0,unknown,BERINGEN,Limbourg,Région flamande,193.0
3580,house,house,215000,3,196,560,3,0,unknown,BERINGEN,Limbourg,Région flamande,193.0
9300,house,house,229000,2,169,375,2,0,to be done up,AALST,Flandre-Orientale,Région flamande,227.0
2200,house,house,234000,2,149,330,3,0,to renovate,HERENTALS,Anvers,Région flamande,293.0
2170,house,house,239000,3,145,166,3,0,to renovate,ANTWERPEN,Anvers,Région flamande,334.0
8520,house,house,245365,4,231,246,2,0,good,KUURNE,Flandre-Occidentale,Région flamande,135.0
8570,house,house,246500,3,132,142,3,0,unknown,ANZEGEM,Flandre-Occidentale,Région flamande,330.0
3580,house,house,225000,3,156,331,2,0,unknown,BERINGEN,Limbourg,Région flamande,193.0
3945,house,house,234000,3,170,1140,4,0,unknown,HAM,Limbourg,Région flamande,301.0
8880,house,house,248500,3,250,450,3,0,unknown,LEDEGEM,Flandre-Occidentale,Région flamande,207.0
2400,house,house,249000,3,200,1000,3,0,unknown,MOL,Anvers,Région flamande,239.0
2490,house,house,215000,4,320,270,2,0,unknown,BALEN,Anvers,Région flamande,240.0
2490,house,house,230000,3,135,659,4,0,unknown,BALEN,Anvers,Région flamande,240.0
9690,house,house,250000,3,190,162,3,0,unknown,KLUISBERGEN,Flandre-Orientale,Région flamande,358.0
2470,house,house,209000,2,126,657,4,0,unknown,RETIE,Anvers,Région flamande,295.0
8370,house,house,250000,6,292,76,2,0,good,BLANKENBERGE,Flandre-Occidentale,Région flamande,153.0
3290,house,house,236163,3,128,227,3,0,unknown,DIEST,Brabant Flamand,Région flamande,348.0
9790,house,house,250000,4,280,285,3,0,unknown,WORTEGEM-PETEGEM,Flandre-Orientale,Région flamande,511.0
3290,house,house,236163,3,148,344,3,0,unknown,DIEST,Brabant Flamand,Région flamande,348.0
3300,house,house,249000,3,170,390,2,0,good,TIENEN,Brabant Flamand,Région flamande,179.0
3980,house,house,249000,3,222,390,3,0,unknown,TESSENDERLO,Limbourg,Région flamande,304.0
3970,house,house,235000,3,156,412,4,0,unknown,LEOPOLDSBURG,Limbourg,Région flamande,122.0
3290,house,house,215329,3,141,263,2,0,unknown,DIEST,Brabant Flamand,Région flamande,348.0
8370,house,house,250000,3,165,355,3,0,good,BLANKENBERGE,Flandre-Occidentale,Région flamande,153.0
7022,house,house,220000,3,120,715,4,0,good,MONS,Hainaut,Région wallonne,40.0
7170,house,house,220000,3,128,308,2,0,as new,MANAGE,Hainaut,Région wallonne,49.0
4710,house,bungalow,239000,3,146,546,4,0,good,LONTZEN,Liège,Région wallonne,323.0
4802,house,house,249000,3,168,250,2,0,as new,VERVIERS,Liège,Région wallonne,72.0
8660,house,house,219000,3,141,115,2,0,good,DE PANNE,Flandre-Occidentale,Région flamande,118.0
6464,house,house,205000,6,250,700,4,0,good,CHIMAY,Hainaut,Région wallonne,95.0
3401,house,house,239000,4,218,1347,3,0,to be done up,LANDEN,Brabant Flamand,Région flamande,73.0
4400,house,house,249000,3,286,560,3,0,to be done up,FLÉMALLE,Liège,Région wallonne,81.0
4400,house,mixed use building,249000,3,286,560,3,0,to be done up,FLÉMALLE,Liège,Région wallonne,81.0
6780,house,house,245000,4,132,226,2,0,good,MESSANCY,Luxembourg,Région wallonne,427.0
7522,house,house,249000,3,186,2840,4,0,good,TOURNAI,Hainaut,Région wallonne,281.0
7100,house,house,234000,3,145,285,2,0,as new,LA LOUVIÈRE,Hainaut,Région wallonne,37.0
7100,house,house,235000,3,135,348,2,0,as new,LA LOUVIÈRE,Hainaut,Région wallonne,37.0
7538,house,house,235000,4,155,394,3,0,as new,TOURNAI,Hainaut,Région wallonne,281.0
1830,house,house,238000,2,120,110,2,0,good,MACHELEN,Brabant Flamand,Région flamande,276.0
6792,house,house,210000,3,188,1000,2,0,to renovate,AUBANGE,Luxembourg,Région wallonne,233.0
2170,house,house,239000,4,144,70,2,0,just renovated,ANTWERPEN,Anvers,Région flamande,334.0
4170,house,house,195000,3,196,160,2,0,good,COMBLAIN-AU-PONT,Liège,Région wallonne,60.0
4287,house,house,245000,4,353,1105,2,0,to be done up,LINCENT,Liège,Région wallonne,214.0
5530,house,villa,249000,2,115,1500,4,0,good,YVOIR,Namur,Région wallonne,283.0
5540,house,house,219000,3,240,260,3,0,as new,HASTIÈRE,Namur,Région wallonne,14.0
7538,house,house,219000,3,123,363,2,0,as new,TOURNAI,Hainaut,Région wallonne,281.0
4300,house,house,220000,3,110,600,3,0,to be done up,WAREMME,Liège,Région wallonne,117.0
3300,house,house,230000,4,175,70,2,0,good,TIENEN,Brabant Flamand,Région flamande,179.0
6061,house,house,225000,3,165,389,3,0,to be done up,CHARLEROI,Hainaut,Région wallonne,19.0
4300,house,house,236000,3,122,520,3,0,good,WAREMME,Liège,Région wallonne,117.0
4040,house,house,245900,4,170,340,3,0,just renovated,HERSTAL,Liège,Région wallonne,93.0
5170,house,house,249000,3,124,455,3,0,good,PROFONDEVILLE,Namur,Région wallonne,339.0
1730,house,house,207000,3,100,163,3,0,good,ASSE,Brabant Flamand,Région flamande,341.0
4720,house,mixed use building,215000,3,310,182,2,0,to renovate,LA CALAMINE,Liège,Région wallonne,89.0
7100,house,mixed use building,215000,4,200,289,2,0,to be done up,LA LOUVIÈRE,Hainaut,Région wallonne,37.0
3980,house,house,225000,3,160,868,4,0,good,TESSENDERLO,Limbourg,Région flamande,304.0
4470,house,house,230000,2,140,600,3,0,just renovated,SAINT-GEORGES-SUR-MEUSE,Liège,Région wallonne,151.0
5332,house,house,235000,3,150,300,2,0,just renovated,ASSESSE,Namur,Région wallonne,367.0
4430,house,house,242000,5,230,284,3,0,good,ANS,Liège,Région wallonne,66.0
4340,house,house,249000,4,229,537,3,0,to renovate,AWANS,Liège,Région wallonne,369.0
7800,house,house,250000,3,200,537,3,0,just renovated,ATH,Hainaut,Région wallonne,104.0
5002,house,house,250000,3,110,122,2,0,just renovated,NAMUR,Namur,Région wallonne,258.0
6700,house,house,239000,4,210,345,3,0,just renovated,ARLON,Luxembourg,Région wallonne,309.0
4970,house,mixed use building,209000,4,225,210,2,0,to be done up,STAVELOT,Liège,Région wallonne,273.0
4040,house,mixed use building,210000,3,227,561,2,0,to be done up,HERSTAL,Liège,Région wallonne,93.0
6850,house,house,225000,4,160,365,3,0,as new,PALISEUL,Luxembourg,Région wallonne,131.0
4550,house,house,249000,4,248,1360,3,0,unknown,NANDRIN,Liège,Région wallonne,419.0
6690,house,house,240000,4,175,1040,4,0,to be done up,VIELSALM,Luxembourg,Région wallonne,92.0
7110,house,house,210000,3,240,426,3,0,as new,LA LOUVIÈRE,Hainaut,Région wallonne,37.0
7760,house,exceptional property,232000,4,150,120,2,0,as new,CELLES,Hainaut,Région wallonne,142.0
6730,house,house,215000,3,121,211,2,0,just renovated,TINTIGNY,Luxembourg,Région wallonne,302.0
1370,house,house,225000,3,100,210,2,0,just renovated,JODOIGNE,Brabant Wallon,Région flamande,489.0
4630,house,house,225000,4,154,434,4,0,good,SOUMAGNE,Liège,Région wallonne,205.0
4040,house,town house,234000,3,151,215,2,1,as new,HERSTAL,Liège,Région wallonne,93.0
4000,house,house,239000,3,140,510,3,0,to be done up,LIÈGE,Liège,Région wallonne,83.0
7030,house,villa,240000,4,145,570,4,0,good,MONS,Hainaut,Région wallonne,40.0
7950,house,country cottage,244000,3,190,1280,4,0,good,CHIÈVRES,Hainaut,Région wallonne,48.0
5544,house,house,249000,9,488,1054,2,0,to renovate,HASTIÈRE,Namur,Région wallonne,14.0
5060,house,mixed use building,249900,2,170,292,3,0,good,SAMBREVILLE,Namur,Région wallonne,82.0
6210,house,town house,250000,4,165,271,2,0,to be done up,LES BONS VILLERS,Hainaut,Région wallonne,286.0
4430,house,house,219000,3,218,145,4,0,good,ANS,Liège,Région wallonne,66.0
4400,house,house,220000,3,95,599,3,0,to be done up,FLÉMALLE,Liège,Région wallonne,81.0
4540,house,house,225000,5,271,1327,2,0,to be done up,AMAY,Liège,Région wallonne,27.0
3300,house,house,249000,3,170,430,3,0,to be done up,TIENEN,Brabant Flamand,Région flamande,179.0
4431,house,house,219000,3,180,343,2,0,good,ANS,Liège,Région wallonne,66.0
4300,house,house,205000,3,130,338,3,0,to be done up,WAREMME,Liège,Région wallonne,117.0
4130,house,house,215000,4,145,323,2,0,to be done up,ESNEUX,Liège,Région wallonne,385.0
9170,house,house,239000,3,140,250,3,0,good,SINT-GILLIS-WAAS,Flandre-Orientale,Région flamande,252.0
4950,house,manor house,210000,4,200,900,4,0,good,WAIMES,Liège,Région wallonne,371.0
4100,house,house,229000,3,162,388,3,0,good,SERAING,Liège,Région wallonne,26.0
4000,house,house,220000,4,174,249,2,0,to be done up,LIÈGE,Liège,Région wallonne,83.0
7040,house,house,220000,3,242,1170,4,0,to be done up,QUÉVY,Hainaut,Région wallonne,74.0
2850,house,house,224000,2,125,66,2,0,just renovated,BOOM,Anvers,Région flamande,232.0
4020,house,town house,230000,2,100,308,3,0,as new,LIÈGE,Liège,Région wallonne,83.0
4250,house,house,240000,3,225,1210,3,0,to be done up,GEER,Liège,Région wallonne,226.0
7730,house,house,245000,2,164,438,3,0,good,ESTAIMPUIS,Hainaut,Région wallonne,343.0
7500,house,house,249000,3,190,146,2,0,as new,TOURNAI,Hainaut,Région wallonne,281.0
6850,house,house,215000,4,184,1075,4,0,good,PALISEUL,Luxembourg,Région wallonne,131.0
3970,house,house,237000,3,195,109,2,0,good,LEOPOLDSBURG,Limbourg,Région flamande,122.0
7020,house,house,245000,3,118,465,4,0,good,MONS,Hainaut,Région wallonne,40.0
4800,house,town house,224000,3,136,149,2,0,good,VERVIERS,Liège,Région wallonne,72.0
7011,house,house,210000,4,160,150,2,0,as new,MONS,Hainaut,Région wallonne,40.0
7972,house,house,210000,3,133,243,3,0,as new,BELOEIL,Hainaut,Région wallonne,347.0
7020,house,house,229000,3,170,900,3,0,as new,MONS,Hainaut,Région wallonne,40.0
4860,house,villa,230000,4,145,312,4,0,to be done up,PEPINSTER,Liège,Région wallonne,69.0
3545,house,house,239000,5,258,2236,3,0,to renovate,HALEN,Limbourg,Région flamande,199.0
6700,house,town house,250000,2,182,215,2,0,to renovate,ARLON,Luxembourg,Région wallonne,309.0
5190,house,house,220000,3,167,575,3,0,just renovated,JEMEPPE-SUR-SAMBRE,Namur,Région wallonne,75.0
2660,house,house,240000,3,190,160,2,0,to be done up,ANTWERPEN,Anvers,Région flamande,334.0
4920,house,bungalow,250000,2,113,975,4,0,good,AYWAILLE,Liège,Région wallonne,148.0
7100,house,house,230000,3,132,165,3,0,as new,LA LOUVIÈRE,Hainaut,Région wallonne,37.0
6224,house,house,210000,3,160,420,3,0,good,FLEURUS,Hainaut,Région wallonne,35.0
1360,house,mansion,229000,3,190,723,4,0,to be done up,PERWEZ,Brabant Wallon,Région flamande,383.0
6997,house,house,249000,5,185,3224,4,0,good,EREZÉE,Luxembourg,Région wallonne,109.0
5300,house,house,210000,3,140,560,4,0,as new,ANDENNE,Namur,Région wallonne,99.0
7061,house,house,250000,3,150,864,3,0,unknown,SOIGNIES,Hainaut,Région wallonne,67.0
4020,house,house,210000,3,182,406,3,0,good,LIÈGE,Liège,Région wallonne,83.0
4367,house,house,215000,3,146,478,4,0,to be done up,CRISNÉE,Liège,Région wallonne,162.0
4540,house,house,220000,3,120,545,4,0,as new,AMAY,Liège,Région wallonne,27.0
5620,house,house,225000,2,150,1022,4,0,as new,FLORENNES,Namur,Région wallonne,76.0
6880,house,house,225000,3,180,745,4,0,unknown,BERTRIX,Luxembourg,Région wallonne,59.0
2840,house,house,229000,3,85,240,2,0,good,RUMST,Anvers,Région flamande,407.0
4100,house,house,229000,3,130,330,3,0,to be done up,SERAING,Liège,Région wallonne,26.0
7600,house,house,230000,3,158,2053,4,0,good,PÉRUWELZ,Hainaut,Région wallonne,57.0
9140,house,house,230000,3,120,337,2,0,good,TEMSE,Flandre-Orientale,Région flamande,310.0
4460,house,house,249000,3,140,416,3,0,as new,GRÂCE-HOLLOGNE,Liège,Région wallonne,43.0
7060,house,house,249000,3,140,310,3,0,as new,SOIGNIES,Hainaut,Région wallonne,67.0
8560,house,house,249000,4,147,490,2,0,good,WEVELGEM,Flandre-Occidentale,Région flamande,127.0
3201,house,house,215000,2,126,746,4,0,to renovate,AARSCHOT,Brabant Flamand,Région flamande,335.0
4031,house,town house,220000,3,168,130,2,0,good,LIÈGE,Liège,Région wallonne,83.0
7711,house,house,220000,3,136,270,3,0,as new,MOUSCRON,Hainaut,Région wallonne,172.0
6041,house,house,225000,3,200,228,3,0,just renovated,CHARLEROI,Hainaut,Région wallonne,19.0
3440,house,house,205000,2,125,85,2,0,good,ZOUTLEEUW,Brabant Flamand,Région flamande,115.0
3970,house,house,239000,5,245,217,2,0,good,LEOPOLDSBURG,Limbourg,Région flamande,122.0
4000,house,mixed use building,240000,3,147,49,2,0,to be done up,LIÈGE,Liège,Région wallonne,83.0
7812,house,house,252500,3,840,2642,4,0,good,ATH,Hainaut,Région wallonne,104.0
4217,house,mixed use building,229000,3,304,591,4,0,good,HÉRON,Liège,Région wallonne,272.0
4300,house,house,250000,5,195,293,2,0,as new,WAREMME,Liège,Région wallonne,117.0
7600,house,house,210000,5,178,161,2,0,good,PÉRUWELZ,Hainaut,Région wallonne,57.0
6224,house,house,215000,3,155,198,3,0,as new,FLEURUS,Hainaut,Région wallonne,35.0
8791,house,house,230000,2,110,391,3,0,good,WAREGEM,Flandre-Occidentale,Région flamande,297.0
7190,house,house,210000,4,161,250,3,0,as new,ECAUSSINNES,Hainaut,Région wallonne,124.0
6690,house,bungalow,236000,3,261,1667,4,0,to be done up,VIELSALM,Luxembourg,Région wallonne,92.0
6800,house,house,232000,3,125,456,3,0,as new,LIBRAMONT-CHEVIGNY,Luxembourg,Région wallonne,173.0
6800,house,house,234000,3,125,448,3,0,as new,LIBRAMONT-CHEVIGNY,Luxembourg,Région wallonne,173.0
7180,house,villa,235000,4,117,591,4,0,unknown,SENEFFE,Hainaut,Région wallonne,211.0
7534,house,house,224000,3,206,560,3,0,good,TOURNAI,Hainaut,Région wallonne,281.0
5020,house,house,225000,2,151,531,4,0,just renovated,NAMUR,Namur,Région wallonne,258.0
3945,house,house,227000,3,178,820,4,0,to renovate,HAM,Limbourg,Région flamande,301.0
1430,house,house,230000,5,170,100,2,0,good,REBECQ,Brabant Wallon,Région flamande,338.0
8500,house,house,245000,3,100,105,2,0,just renovated,KORTRIJK,Flandre-Occidentale,Région flamande,352.0
5310,house,house,235000,2,100,170,4,0,as new,EGHEZÉE,Namur,Région wallonne,336.0
4900,house,house,205000,4,90,535,3,0,to renovate,SPA,Liège,Région wallonne,522.0
5030,house,house,210000,3,76,619,3,0,to be done up,GEMBLOUX,Namur,Région wallonne,177.0
4400,house,house,213000,3,116,193,3,0,as new,FLÉMALLE,Liège,Région wallonne,81.0
8530,house,town house,215000,3,180,400,2,0,to be done up,HARELBEKE,Flandre-Occidentale,Région flamande,161.0
4051,house,house,220000,5,145,224,2,0,just renovated,CHAUDFONTAINE,Liège,Région wallonne,253.0
7170,house,house,220000,3,273,915,4,0,good,MANAGE,Hainaut,Région wallonne,49.0
3272,house,house,225000,2,137,1144,3,0,to be done up,SCHERPENHEUVEL-ZICHEM,Brabant Flamand,Région flamande,195.0
4000,house,mixed use building,225000,3,130,120,2,0,good,LIÈGE,Liège,Région wallonne,83.0
5600,house,house,225000,4,220,1080,2,0,good,PHILIPPEVILLE,Namur,Région wallonne,39.0
5564,house,house,230000,4,198,1058,4,0,good,HOUYET,Namur,Région wallonne,129.0
3580,house,house,235000,3,120,250,3,0,to be done up,BERINGEN,Limbourg,Région flamande,193.0
4430,house,house,235000,4,201,451,4,0,good,ANS,Liège,Région wallonne,66.0
8800,house,other property,235000,3,132,400,3,0,good,ROESELARE,Flandre-Occidentale,Région flamande,249.0
2300,house,house,237500,2,134,69,2,0,just renovated,TURNHOUT,Anvers,Région flamande,277.0
6929,house,house,240000,4,161,1011,4,0,good,DAVERDISSE,Luxembourg,Région wallonne,485.0
6880,house,house,245000,3,168,329,2,0,just renovated,BERTRIX,Luxembourg,Région wallonne,59.0
7130,house,house,245000,4,220,130,2,0,as new,BINCHE,Hainaut,Région wallonne,33.0
2170,house,house,249000,4,110,122,2,0,as new,ANTWERPEN,Anvers,Région flamande,334.0
9600,house,house,249000,5,133,530,4,0,to be done up,RENAIX,Flandre-Orientale,Région flamande,137.0
9880,house,house,249000,2,120,332,4,0,good,AALTER,Flandre-Orientale,Région flamande,318.0
2830,house,house,250000,0,136,590,2,0,to be done up,WILLEBROEK,Anvers,Région flamande,382.0
4260,house,house,250000,3,271,1446,4,0,to renovate,BRAIVES,Liège,Région wallonne,245.0
5031,house,house,250000,2,110,826,4,0,as new,GEMBLOUX,Namur,Région wallonne,177.0
7100,house,house,250000,3,170,2800,4,0,good,LA LOUVIÈRE,Hainaut,Région wallonne,37.0
7110,house,mixed use building,250000,3,291,550,3,0,good,LA LOUVIÈRE,Hainaut,Région wallonne,37.0
9700,house,house,250000,3,165,328,2,0,to renovate,OUDENAARDE,Flandre-Orientale,Région flamande,268.0
7783,house,house,215000,4,181,357,3,0,good,COMINES-WARNETON,Hainaut,Région wallonne,503.0
9700,house,house,220000,3,207,292,3,0,to be done up,OUDENAARDE,Flandre-Orientale,Région flamande,268.0
3010,house,house,250000,3,137,175,2,0,good,LEUVEN,Brabant Flamand,Région flamande,465.0
3840,house,house,249000,3,172,156,3,0,good,BORGLOON,Limbourg,Région flamande,217.0
4530,house,house,245000,3,140,900,4,0,as new,VILLERS-LE-BOUILLET,Liège,Région wallonne,165.0
9870,house,house,240000,3,151,390,3,0,to renovate,ZULTE,Flandre-Orientale,Région flamande,458.0
8501,house,house,215000,3,179,179,2,0,good,KORTRIJK,Flandre-Occidentale,Région flamande,352.0
8500,house,house,219000,4,184,87,3,0,to be done up,KORTRIJK,Flandre-Occidentale,Région flamande,352.0
7700,house,house,239000,3,133,161,2,0,as new,MOUSCRON,Hainaut,Région wallonne,172.0
4683,house,house,210000,3,145,583,3,0,to be done up,OUPEYE,Liège,Région wallonne,132.0
4040,house,house,215000,4,154,255,4,0,good,HERSTAL,Liège,Région wallonne,93.0
5060,house,house,215000,3,105,505,3,0,good,SAMBREVILLE,Namur,Région wallonne,82.0
4900,house,house,220000,4,131,148,2,0,to be done up,SPA,Liège,Région wallonne,522.0
7760,house,other property,220000,3,180,1035,2,0,good,CELLES,Hainaut,Région wallonne,142.0
4400,house,house,225000,3,160,1028,4,0,to be done up,FLÉMALLE,Liège,Région wallonne,81.0
5020,house,house,238000,4,146,1324,2,0,to be done up,NAMUR,Namur,Région wallonne,258.0
1500,house,house,225000,2,145,57,2,0,good,HALLE,Brabant Flamand,Région flamande,399.0
5502,house,house,225000,3,296,350,4,0,good,DINANT,Namur,Région wallonne,138.0
8434,house,house,239000,3,102,83,2,0,good,MIDDELKERKE,Flandre-Occidentale,Région flamande,71.0
8800,house,house,249000,3,123,124,2,0,as new,ROESELARE,Flandre-Occidentale,Région flamande,249.0
9000,house,house,249000,2,70,46,2,0,as new,GENT,Flandre-Orientale,Région flamande,496.0
5020,house,house,250000,3,250,780,4,0,to be done up,NAMUR,Namur,Région wallonne,258.0
6760,house,house,250000,4,187,1530,4,0,unknown,VIRTON,Luxembourg,Région wallonne,110.0
4000,house,mansion,225000,5,175,120,2,0,to be done up,LIÈGE,Liège,Région wallonne,83.0
6750,house,house,250000,3,107,412,4,0,as new,MUSSON,Luxembourg,Région wallonne,98.0
4280,house,house,228300,3,134,1090,4,0,as new,HANNUT,Liège,Région wallonne,198.0
7850,house,house,205000,3,128,441,3,0,good,ENGHIEN,Hainaut,Région wallonne,472.0
4042,house,house,230000,3,150,252,3,0,good,HERSTAL,Liège,Région wallonne,93.0
6980,house,villa,245000,3,193,1000,4,0,as new,LA ROCHE-EN-ARDENNE,Luxembourg,Région wallonne,70.0
3950,house,house,225000,4,210,1351,4,0,to renovate,BOCHOLT,Limbourg,Région flamande,251.0
4032,house,house,245000,5,175,400,3,0,to be done up,LIÈGE,Liège,Région wallonne,83.0
6760,house,house,240000,3,368,1000,2,0,just renovated,VIRTON,Luxembourg,Région wallonne,110.0
4720,house,mixed use building,250000,9,285,445,2,0,to renovate,LA CALAMINE,Liège,Région wallonne,89.0
2800,house,house,245000,3,117,96,2,0,to be done up,MECHELEN,Anvers,Région flamande,479.0
3920,house,house,239000,5,150,791,4,0,to be done up,LOMMEL,Limbourg,Région flamande,256.0
7860,house,mansion,245000,2,150,590,3,0,to renovate,LESSINES,Hainaut,Région wallonne,112.0
2490,house,house,205000,3,140,295,3,0,to renovate,BALEN,Anvers,Région flamande,240.0
5336,house,villa,215000,3,175,1200,4,0,to be done up,ASSESSE,Namur,Région wallonne,367.0
7860,house,house,215000,4,185,560,3,0,as new,LESSINES,Hainaut,Région wallonne,112.0
3580,house,house,225000,3,120,371,4,0,good,BERINGEN,Limbourg,Région flamande,193.0
8430,house,house,225000,3,120,186,3,0,good,MIDDELKERKE,Flandre-Occidentale,Région flamande,71.0
6440,house,villa,230000,3,129,96,4,0,good,FROIDCHAPELLE,Hainaut,Région wallonne,4.0
4432,house,bungalow,237000,2,118,1180,4,0,good,ANS,Liège,Région wallonne,66.0
3460,house,house,249000,3,190,600,3,0,good,BEKKEVOORT,Brabant Flamand,Région flamande,224.0
3890,house,house,249000,3,160,345,4,0,good,GINGELOM,Limbourg,Région flamande,146.0
4800,house,house,250000,7,200,632,3,0,good,VERVIERS,Liège,Région wallonne,72.0
8660,house,house,220000,4,150,184,3,0,as new,DE PANNE,Flandre-Occidentale,Région flamande,118.0
4102,house,mixed use building,229000,7,450,230,2,0,unknown,SERAING,Liège,Région wallonne,26.0
2060,house,house,249000,5,185,65,3,0,good,ANTWERPEN,Anvers,Région flamande,334.0
2610,house,house,249000,2,260,170,3,0,to be done up,ANTWERPEN,Anvers,Région flamande,334.0
9140,house,house,249000,2,133,49,3,0,as new,TEMSE,Flandre-Orientale,Région flamande,310.0
1480,house,house,240000,3,148,169,2,0,as new,TUBIZE,Brabant Wallon,Région flamande,187.0
2830,house,house,249000,4,175,295,3,0,as new,WILLEBROEK,Anvers,Région flamande,382.0
6200,house,house,210000,6,250,730,3,0,good,CHÂTELET,Hainaut,Région wallonne,25.0
4530,house,exceptional property,249000,2,98,4298,4,0,to renovate,VILLERS-LE-BOUILLET,Liège,Région wallonne,165.0
5300,house,house,210000,3,139,562,4,0,as new,ANDENNE,Namur,Région wallonne,99.0
5060,house,house,205000,3,185,591,3,0,as new,SAMBREVILLE,Namur,Région wallonne,82.0
7134,house,house,225000,3,213,375,3,0,good,BINCHE,Hainaut,Région wallonne,33.0
1435,house,house,240000,3,139,202,3,0,to renovate,MONT-SAINT-GUIBERT,Brabant Wallon,Région flamande,314.0
3630,house,house,205000,3,196,210,2,0,good,MAASMECHELEN,Limbourg,Région flamande,269.0
4000,house,house,205000,4,110,434,2,0,to be done up,LIÈGE,Liège,Région wallonne,83.0
8800,house,house,219000,4,268,705,2,0,to renovate,ROESELARE,Flandre-Occidentale,Région flamande,249.0
4790,house,house,220000,2,127,1500,4,0,as new,BURG-REULAND,Liège,Région wallonne,88.0
7390,house,house,220000,5,289,852,2,0,good,QUAREGNON,Hainaut,Région wallonne,9.0
4140,house,house,226000,3,100,700,3,0,just renovated,SPRIMONT,Liège,Région wallonne,333.0
2620,house,house,229000,3,90,250,3,0,good,HEMIKSEM,Anvers,Région flamande,298.0
3500,house,house,230000,4,136,620,3,0,to be done up,HASSELT,Limbourg,Région flamande,411.0
4430,house,house,230000,3,160,240,2,0,unknown,ANS,Liège,Région wallonne,66.0
5060,house,mansion,230000,3,170,610,3,0,good,SAMBREVILLE,Namur,Région wallonne,82.0
4140,house,house,238000,3,106,1400,3,0,just renovated,SPRIMONT,Liège,Région wallonne,333.0
4950,house,house,240000,3,122,1013,4,0,good,WAIMES,Liège,Région wallonne,371.0
5020,house,house,240000,3,150,396,3,0,good,NAMUR,Namur,Région wallonne,258.0
2840,house,house,248000,2,101,121,3,0,good,RUMST,Anvers,Région flamande,407.0
1480,house,house,250000,3,160,192,2,0,as new,TUBIZE,Brabant Wallon,Région flamande,187.0
3454,house,house,210000,2,135,900,3,0,good,GEETBETS,Brabant Flamand,Région flamande,155.0
6140,house,house,210000,3,190,150,2,0,as new,FONTAINE-L'EVÊQUE,Hainaut,Région wallonne,50.0
7880,house,house,210000,3,125,612,4,0,good,FLOBECQ,Hainaut,Région wallonne,250.0
6500,house,villa,215000,3,140,995,4,0,as new,BEAUMONT,Hainaut,Région wallonne,28.0
6690,house,house,215000,5,307,176,4,0,good,VIELSALM,Luxembourg,Région wallonne,92.0
3150,house,house,225000,2,91,150,4,0,just renovated,HAACHT,Brabant Flamand,Région flamande,365.0
6060,house,mixed use building,230000,7,380,380,2,0,good,CHARLEROI,Hainaut,Région wallonne,19.0
